n,mse,mse.m,mse.a,theta.mse
64,0.3918880263490381,0.41210993109116983,0.4041935904026007,0.05646611895306831
64,0.3375182385754118,0.31476000574344154,0.3088038935394299,0.06923061739778338
64,0.2635748404978155,0.2731123862151646,0.2665339008649845,0.05420859939740569
64,0.19989901240642913,0.20475400501941632,0.20136094017673947,0.03463211198800202
64,0.18892926955169873,0.2018485856606458,0.19201380309671393,0.04077546378197468
64,0.2928934035645815,0.2975092619809859,0.2967085838697971,0.03122179770259399
64,0.39360812249938504,0.3713683205604827,0.3711490229348861,0.04479934920277479
64,0.3814457090166693,0.34010536824217735,0.3361590169848963,0.04633203932468815
64,0.4872355876143353,0.4015476761562856,0.4155254750180656,0.06593026962464052
64,0.24315895473372817,0.26459246845998036,0.28635990599210737,0.04026055805792137
64,0.2384401082082208,0.23561374131519505,0.22952671170750685,0.04516191266739296
64,0.2126034935074072,0.2641616533368788,0.2535744805474601,0.05070661246652677
64,0.40970424094846497,0.3658939475756834,0.3646429163795972,0.06562302647305175
64,0.3715764081777001,0.3617409547962256,0.3784037816208934,0.04572481733729056
64,0.3674826779213419,0.3189742079090979,0.3013098181649204,0.02802629086065135
64,0.418098282157757,0.4189225227278865,0.4030148538852033,0.03190269972093597
64,0.1519155128146283,0.15214722457962593,0.14941073415554956,0.06391479886157624
64,0.34794405203877965,0.35302244176023095,0.3497123767540811,0.05244835339177261
64,0.2056206311487933,0.15443469523038386,0.15837859825370865,0.06215915790992819
64,0.3082039808290676,0.3055096593577027,0.3053196510570667,0.05182245948745713
64,0.1929754033744271,0.18828005275401744,0.18804352443610536,0.04561190794604827
64,0.2749604687176776,0.27362623893753496,0.2761325653574744,0.04103752240081552
64,0.248077021466709,0.2505921818339257,0.24365831212168224,0.06036272145713268
64,0.24758852607842985,0.21067939638502953,0.21421866725633523,0.07084799712905396
64,0.26839460206209015,0.2561198160080295,0.2627597235333378,0.04733383706742414
64,0.25856021538635005,0.2844629258033627,0.27404133305903366,0.04745125530999947
64,0.3064679833450868,0.29746462478719893,0.29476580137111413,0.0489274964759611
64,0.306687927310773,0.22577574726295888,0.23969006733747808,0.0520060509100247
64,0.3539807675696298,0.33683662884754434,0.34405357759145194,0.06482651088911223
64,0.4134116505226099,0.4358008864830547,0.4233857984452765,0.04864257122670395
64,0.392894697539234,0.3627190612213377,0.35897936053220664,0.05953901766484217
64,0.37596518660364,0.2608712205495867,0.2617162004251486,0.04467272225805933
